BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type	genotype
SAMN07221287	SRX2910206	9	8	SRR5674644	SRS2276786	GSM2664698	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221282	SRX2910207	8	7	SRR5674645	SRS2276788	GSM2664699	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221281	SRX2910208	21	17	SRR5674646	SRS2276789	GSM2664700	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221280	SRX2910209	15	12	SRR5674647	SRS2276790	GSM2664701	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221283	SRX2910210	13	11	SRR5674648	SRS2276791	GSM2664702	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221277	SRX2910211	20	16	SRR5674649	SRS2276792	GSM2664703	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221278	SRX2910212	13	11	SRR5674650	SRS2276793	GSM2664704	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221279	SRX2910213	20	16	SRR5674651	SRS2276797	GSM2664705	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221273	SRX2910214	21	17	SRR5674652	SRS2276796	GSM2664706	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221274	SRX2910215	15	12	SRR5674653	SRS2276795	GSM2664707	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221275	SRX2910216	25	20	SRR5674654	SRS2276798	GSM2664708	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221276	SRX2910217	24	19	SRR5674655	SRS2276799	GSM2664709	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221267	SRX2910218	20	17	SRR5674656	SRS2276800	GSM2664710	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221268	SRX2910219	26	21	SRR5674657	SRS2276801	GSM2664711	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221271	SRX2910220	21	17	SRR5674658	SRS2276803	GSM2664712	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221270	SRX2910221	22	18	SRR5674659	SRS2276802	GSM2664713	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221269	SRX2910222	21	17	SRR5674660	SRS2276804	GSM2664714	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221272	SRX2910223	27	21	SRR5674661	SRS2276805	GSM2664715	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221263	SRX2910224	23	18	SRR5674662	SRS2276806	GSM2664716	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221264	SRX2910225	20	16	SRR5674663	SRS2276808	GSM2664717	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221265	SRX2910226	22	18	SRR5674664	SRS2276810	GSM2664718	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221266	SRX2910227	26	21	SRR5674665	SRS2276807	GSM2664719	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221256	SRX2910228	24	19	SRR5674666	SRS2276809	GSM2664720	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221257	SRX2910229	24	19	SRR5674667	SRS2276811	GSM2664721	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221260	SRX2910230	24	19	SRR5674668	SRS2276812	GSM2664722	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221259	SRX2910231	24	19	SRR5674669	SRS2276813	GSM2664723	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221258	SRX2910232	26	20	SRR5674670	SRS2276814	GSM2664724	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221261	SRX2910233	17	14	SRR5674671	SRS2276815	GSM2664725	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221262	SRX2910234	18	14	SRR5674672	SRS2276816	GSM2664726	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221251	SRX2910235	24	19	SRR5674673	SRS2276817	GSM2664727	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221252	SRX2910236	15	12	SRR5674674	SRS2276818	GSM2664728	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221253	SRX2910237	21	17	SRR5674675	SRS2276819	GSM2664729	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221254	SRX2910238	24	19	SRR5674676	SRS2276821	GSM2664730	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221255	SRX2910239	28	22	SRR5674677	SRS2276820	GSM2664731	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221289	SRX2910240	29	23	SRR5674678	SRS2276822	GSM2664732	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221419	SRX2910241	25	20	SRR5674679	SRS2276824	GSM2664733	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221420	SRX2910242	16	13	SRR5674680	SRS2276823	GSM2664734	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221415	SRX2910243	23	18	SRR5674681	SRS2276825	GSM2664735	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
